id,datetime_added,journal,search_term,datetime_article,category,type,title,link,comment_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
PE202409270930-el-article,2024-09-27 10:30:28.036415,periodic,el,2024-09-27 09:30:00,noticia,article,Localitzen mort un home en una benzinera de l'avinguda Santa Coloma,https://www.elperiodic.ad/noticia/108650/mor-un-home-a-andorra-la-vella,,,,,,,,
PE202409270915-el-article,2024-09-27 10:30:28.036415,periodic,el,2024-09-27 09:15:00,noticia,article,Detingudes quatre persones per conduir sota els efectes de l'alcohol o les drogues,https://www.elperiodic.ad/noticia/108649/detingudes-quatre-persones-per-conduir-sota-els-efectes-de-lalcohol-o-les-drogues,,,,,,,,
PE202409270045-el-article,2024-09-27 10:30:28.036415,periodic,el,2024-09-27 00:45:00,opinio,opinion,Consultori fiscal,https://www.elperiodic.ad/opinio/article/108645/consultori-fiscal,,,,,,,,
PE202409270030-el-article,2024-09-27 10:30:28.036415,periodic,el,2024-09-27 00:30:00,opinio,opinion,10 claus per a entendre la propera jugada del BCE,https://www.elperiodic.ad/opinio/article/108643/10-claus-per-a-entendre-la-propera-jugada-del-bce,,,,,,,,
PE202409270000-el-article,2024-09-27 10:30:28.036415,periodic,el,2024-09-27 00:00:00,opinio,opinion,Inmobiliari sostenible al Principat,https://www.elperiodic.ad/opinio/article/108633/inmobiliari-sostenible-al-principat,,,,,,,,
PE202409271015-la-article,2024-09-27 10:30:28.036415,periodic,la,2024-09-27 10:15:00,noticia,article,Acció Feminista reclama cobertura sanitària per a les dones que volen avortar fora d'Andorra,https://www.elperiodic.ad/noticia/108651/accio-feminista-reclamacobertura-sanitaria-per-a-les-dones-que-volen-avortar-fora-dandorra,,,,,,,,
PE202409270930-la-article,2024-09-27 10:30:28.036415,periodic,la,2024-09-27 09:30:00,noticia,article,Localitzen mort un home en una benzinera de l'avinguda Santa Coloma,https://www.elperiodic.ad/noticia/108650/mor-un-home-a-andorra-la-vella,,,,,,,,
PE202409270915-la-article,2024-09-27 10:30:28.036415,periodic,la,2024-09-27 09:15:00,noticia,article,Detingudes quatre persones per conduir sota els efectes de l'alcohol o les drogues,https://www.elperiodic.ad/noticia/108649/detingudes-quatre-persones-per-conduir-sota-els-efectes-de-lalcohol-o-les-drogues,,,,,,,,
PE202409270045-la-article,2024-09-27 10:30:28.036415,periodic,la,2024-09-27 00:45:00,opinio,opinion,Consultori fiscal,https://www.elperiodic.ad/opinio/article/108645/consultori-fiscal,,,,,,,,
PE202409270030-la-article,2024-09-27 10:30:28.036415,periodic,la,2024-09-27 00:30:00,opinio,opinion,10 claus per a entendre la propera jugada del BCE,https://www.elperiodic.ad/opinio/article/108643/10-claus-per-a-entendre-la-propera-jugada-del-bce,,,,,,,,
PE202409270000-la-article,2024-09-27 10:30:28.036415,periodic,la,2024-09-27 00:00:00,opinio,opinion,Inmobiliari sostenible al Principat,https://www.elperiodic.ad/opinio/article/108633/inmobiliari-sostenible-al-principat,,,,,,,,
DI202409270648-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:48:00,nacional,article,Vacunat de llengua blava tot el ramat boví i oví del país,https://www.diariandorra.ad/nacional/240927/vacunat-llengua-blava-tot-ramat-bovi-i-ovi-pais_158903.html,,,,,,,,
DI202409270642-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:42:00,entreteniment,article,Disney+ posa límits,https://www.diariandorra.ad/entreteniment/240927/disney-posa-limits_158902.html,,,,,,,,
DI202409270640-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:40:00,entreteniment,article,Soy Nevenka,https://www.diariandorra.ad/entreteniment/240927/transformers-one_158901.html,,,,,,,,
DI202409270638-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:38:00,entreteniment,article,Caldes Festival. 'La salle d'attente',https://www.diariandorra.ad/entreteniment/240927/caldes-festival-salle-d-attente_158900.html,,,,,,,,
DI202409270636-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:36:00,entreteniment,article,Prediccions del zodíac,https://www.diariandorra.ad/entreteniment/240927/prediccions-zodiac_158899.html,,,,,,,,
DI202409270631-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:31:00,actualitat-economica,article,L’optimisme torna a les borses europees,https://www.diariandorra.ad/actualitat-economica/240927/l-optimisme-torna-les-borses-europees_158898.html,,,,,,,,
DI202409270629-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:29:00,semafor,article,"Semàfor, 27 de setembre",https://www.diariandorra.ad/semafor/240927/semafor-27-setembre_158897.html,,,,,,,,
DI202409270624-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:24:00,nacional,article,Stop Violències s’uneix amb una entitat veneçolana proavortista,https://www.diariandorra.ad/nacional/240927/stop-violencies-s-uneix-amb-entitat-venecolana-proavortista_158895.html,,,,,,,,
DI202409270622-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:22:00,nacional,article,Govern i Ski Andorra s’alien per garantir la seguretat laboral a les pistes,https://www.diariandorra.ad/nacional/240927/govern-i-ski-andorra-s-alien-per-garantir-seguretat-laboral-les-pistes_158894.html,,,,,,,,
DI202409270620-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:20:00,nacional,article,"Creix un 6,8% el valor de les importacions",https://www.diariandorra.ad/nacional/240927/creix-6-8-valor-les-importacions_158892.html,,,,,,,,
DI202409270619-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:19:00,nacional,article,El raonador proposa un concurs literari juvenil,https://www.diariandorra.ad/nacional/240927/raonador-proposa-concurs-literari-juvenil_158891.html,,,,,,,,
DI202409270612-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:12:00,la-contra,article,“L’escriptura és una teràpia i la meva meditació”,https://www.diariandorra.ad/la-contra/240927/l-escriptura-terapia-i-meva-meditacio_158890.html,,,,,,,,
DI202409270608-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:08:00,opinio,opinion,Rastreig dels pisos turístics,https://www.diariandorra.ad/opinio/editorial/240927/rastreig-dels-pisos-turistics_158889.html,,,,,,,,
DI202409270606-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:06:00,opinio,opinion,Un perfecte ambaixador del català,https://www.diariandorra.ad/opinio/la-tribuna/240927/perfecte-ambaixador-catala_158887.html,,,,,,,,
DI202409270604-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:04:00,opinio,opinion,Prevenir el suïcidi,https://www.diariandorra.ad/opinio/foc-i-lloc/240927/prevenir-suicidi_158886.html,,,,,,,,
DI202409270602-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:02:00,opinio,opinion,Salari digne,https://www.diariandorra.ad/opinio/les-set-claus/240927/salari-digne_158885.html,,,,,,,,
DI202409270601-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:01:00,opinio,opinion,Els detectors,https://www.diariandorra.ad/opinio/la-visura/240927/els-detectors_158884.html,,,,,,,,
DI202409270600-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 06:00:00,opinio,opinion,Ordenació i futur,https://www.diariandorra.ad/opinio/la-seca-la-meca/240927/ordenacio-i-futur_158883.html,,,,,,,,
DI202409270554-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:54:00,nacional,article,El PS impulsa el dret a l’oblit sanitari al marge del Govern,https://www.diariandorra.ad/nacional/240927/ps-impulsa-dret-l-oblit-sanitari-marge-govern_158882.html,,,,,,,,
DI202409270552-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:52:00,nacional,article,Xavier Espot treu pit de l’“exemplaritat” d’Andorra a l’ONU,https://www.diariandorra.ad/nacional/240927/xavier-espot-treu-pit-l-exemplaritat-d-andorra-l-onu_158881.html,,,,,,,,
DI202409270549-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:49:00,nacional,article,Grandvalira modifica l’organigrama i nomena dos directors generals,https://www.diariandorra.ad/nacional/240927/grandvalira-modifica-l-organigrama-i-nomena-dos-directors-generals_158880.html,,,,,,,,
DI202409270547-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:47:00,nacional,article,Salut mental atén més de 3.000 adults el 2023,https://www.diariandorra.ad/nacional/240927/salut-mental-aten-mes-3-000-adults-2023_158879.html,,,,,,,,
DI202409270543-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:43:00,nacional,article,Els advocats s’uneixen contra l’abús de la presó provisional,https://www.diariandorra.ad/nacional/240927/els-advocats-s-uneixen-l-abus-preso-provisional_158878.html,,,,,,,,
DI202409270541-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:41:00,parroquies,article,Dards encreuats per l’habitatge i les inversions entre majoria i minoria,https://www.diariandorra.ad/parroquies/240927/dards-encreuats-per-l-habitatge-i-les-inversions-majoria-i-minoria_158877.html,,,,,,,,
DI202409270539-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:39:00,parroquies,article,"Adjudicat per 3,5 milions el nou centre per a la gent gran",https://www.diariandorra.ad/parroquies/240927/adjudicat-per-3-5-milions-nou-centre-per-gent-gran_158876.html,,,,,,,,
DI202409270537-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:37:00,parroquies,article,Reivindicació del sector amb la Festa de la transhumància,https://www.diariandorra.ad/parroquies/240927/reivindicacio-sector-amb-festa-transhumancia_158875.html,,,,,,,,
DI202409270535-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:35:00,esports,article,Trencat l'acord per al nou estadi,https://www.diariandorra.ad/esports/240927/trencat-l-acord-per-nou-estadi_158874.html,,,,,,,,
DI202409270531-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:31:00,esports,article,“Sabem que podem fer coses importants”,https://www.diariandorra.ad/esports/240927/sabem-podem-fer-coses-importants_158873.html,,,,,,,,
DI202409270526-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:26:00,esports,article,Xavi Cardelús afronta el Gran Premi d’Indonèsia,https://www.diariandorra.ad/esports/240927/xavi-cardelus-afronta-gran-premi-d-indonesia_158870.html,,,,,,,,
DI202409270525-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:25:00,esports,article,Jové acaba en el 41è lloc a la Sea Otter Girona,https://www.diariandorra.ad/esports/240927/jove-acaba-41e-lloc-sea-otter-girona_158869.html,,,,,,,,
DI202409270524-el-article,2024-09-27 10:30:28.036415,diari,el,2024-09-27 05:24:00,esports,article,Arriba el Trial clàssic coll de la Botella,https://www.diariandorra.ad/esports/240927/trial-classic-coll-botella_158868.html,,,,,,,,
