id,datetime_added,journal,search_term,datetime_article,category,type,title,link,nb_of_comments
AL20241006204100,2024-10-07 02:07:29.903360,altaveu,Andorra,2024-10-06 20:41:00,successos,article,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,https://www.altaveu.com/actualitat/successos/andorrana-ferida-accident-coll-nargo_60875_102.html,7
AL20241006140200,2024-10-07 02:07:29.903360,altaveu,Andorra,2024-10-06 14:02:00,parroquies,article,Andorra la Vella aposta per la màgia per dinamitzar el centre històric,https://www.altaveu.com/actualitat/parroquies/andorra-vella-aposta-magia-dinamitzar-centre-historic_60866_102.html,0
BO20241007020002,2024-10-07 02:07:29.903360,bondia,Andorra,2024-10-07 02:00:02,entrevista,interview,"Montserrat Ronchera: “És difícil d’acceptar, però les dones estem més subjectes a discriminacions”",https://www.bondia.ad/entrevistes/montserrat-ronchera-es-dificil-d-acceptar-pero-les-dones-estem-mes-subjectes-a-discriminacions,0
BO20241007000002,2024-10-07 02:07:29.903360,bondia,Andorra,2024-10-07 00:00:02,passava per aqui,article,"“Baixa la comprensió lectora, sí, però la solució no és rebaixar el nivell”",https://www.bondia.ad/passava-per-aqui/baixa-la-comprensio-lectora-si-pero-la-solucio-no-es-rebaixar-el-nivell,0
BO20241006204700,2024-10-07 02:07:29.903360,bondia,Andorra,2024-10-06 20:47:00,noticia,article,Un expert en treball recepta la intervenció mínima del Govern en la negociació col·lectiva,https://www.bondia.ad/economia/un-expert-en-treball-recepta-la-intervencio-minima-del-govern,1
BO20241006194107,2024-10-07 02:07:29.903360,bondia,Andorra,2024-10-06 19:41:07,noticia,article,230 pisos buits a la capital,https://www.bondia.ad/societat/230-pisos-buits-a-la-capital,0
BO20241006193029,2024-10-07 02:07:29.903360,bondia,Andorra,2024-10-06 19:30:29,noticia,article,El vals que ho va canviar tot,https://www.bondia.ad/cultura/el-vals-que-ho-va-canviar-tot,0
DI20241006135400,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 13:54:00,esports,article,Triomf de l'FC Andorra davant del Real Unión (2-0),https://www.diariandorra.ad/esports/241006/triomf-l-fc-andorra-davant-real-union-2-0_159443.html,0
DI20241006120400,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 12:04:00,parroquies,article,Andorra la Vella calcula en 230 els pisos buits a la parròquia,https://www.diariandorra.ad/parroquies/241006/andorra-vella-calcula-230-els-pisos-buits-parroquia_159440.html,15
DI20241006115800,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 11:58:00,esports,article,Triomf de nota a Vitòria (91-95),https://www.diariandorra.ad/esports/241006/triomf-prestigi-vitoria_159405.html,0
DI20241006115700,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 11:57:00,nacional,article,Carrer lliure de fum?,https://www.diariandorra.ad/nacional/241006/carrer-lliure-fum_159410.html,0
DI20241006115600,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 11:56:00,nacional,article,La policia investiga una presumpta agressió xenòfoba,https://www.diariandorra.ad/nacional/241006/policia-investiga-presumpta-agressio-xenofoba_159412.html,5
DI20241006115500,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 11:55:00,nacional,article,Dones maltractades reclamen més atenció i protecció per als fills,https://www.diariandorra.ad/nacional/241006/dones-maltractades-reclamen-mes-atencio-i-proteccio-per-als-fills_159414.html,12
DI20241006065800,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:58:00,entreteniment,article,'El mag taxidermista',https://www.diariandorra.ad/entreteniment/241006/mag-taxidermista_159434.html,0
DI20241006065100,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:51:00,semafor,article,"Semàfor, 6 d'octubre",https://www.diariandorra.ad/semafor/241006/semafor-6-d-octubre_159431.html,0
DI20241006064200,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:42:00,opinio,opinion,"Passeu, passeu",https://www.diariandorra.ad/opinio/de-la-meva-agenda/241006/passeu-passeu_159428.html,1
DI20241006062900,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:29:00,nacional,article,Andorra referma el compromís amb el francès,https://www.diariandorra.ad/nacional/241006/andorra-referma-compromis-amb-frances_159422.html,0
DI20241006062800,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:28:00,nacional,article,Cabanes explica les polítiques de joventut a Esterri d’Àneu,https://www.diariandorra.ad/nacional/241006/cabanes-explica-les-politiques-joventut-esterri-d-aneu_159421.html,0
DI20241006062600,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:26:00,nacional,article,Èxit dels castellers d’Andorra a Tarragona,https://www.diariandorra.ad/nacional/241006/exit-dels-castellers-d-andorra-tarragona_159420.html,0
DI20241006062400,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:24:00,nacional,article,Un bus atropella un home a Príncep Benlloch,https://www.diariandorra.ad/nacional/241006/bus-atropella-home-princep-benlloch_159419.html,1
DI20241006062300,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:23:00,nacional,article,Comissen 25 quilos de tabac andorrà,https://www.diariandorra.ad/nacional/241006/comissen-25-quilos-tabac-andorra_159418.html,0
DI20241006062100,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 06:21:00,cultura,article,Cotxe robat a Barcelona!,https://www.diariandorra.ad/cultura/241006/cotxe-robat-barcelona_159417.html,2
DI20241006054600,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 05:46:00,parroquies,article,Quatre espectacles de dansa al Contradans,https://www.diariandorra.ad/parroquies/241006/quatre-espectacles-dansa-contradans_159408.html,0
DI20241006054500,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 05:45:00,parroquies,article,Últim Mercat de la Vall d’aquest any,https://www.diariandorra.ad/parroquies/241006/ultim-mercat-vall-d-aquest-any_159407.html,0
DI20241006053700,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 05:37:00,esports,article,"Toni Bou guanya ""a casa"" el 36è Campionat del Món",https://www.diariandorra.ad/esports/241006/toni-bou-guanya-casa-36e-campionat-mon_159404.html,1
DI20241006053500,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 05:35:00,esports,article,L’Andorra vol allargar el bon moment,https://www.diariandorra.ad/esports/241006/l-andorra-vol-allargar-bon-moment_159403.html,0
DI20241006053300,2024-10-07 02:07:29.903360,diari,Andorra,2024-10-06 05:33:00,esports,article,Tres punts de sanció a l’Atlètic Escaldes i el Penya,https://www.diariandorra.ad/esports/241006/tres-punts-sancio-l-atletic-escaldes-i-penya_159402.html,0
